product_id,category,week,price,discount_pct,units_sold
P001,Electronics,1,103.05,0.0,35
P001,Electronics,2,103.05,0.0,43
P001,Electronics,3,103.05,0.0,40
P001,Electronics,4,103.05,0.0,57
P001,Electronics,5,97.9,0.05,47
P001,Electronics,6,72.13,0.3,109
P001,Electronics,7,103.05,0.0,44
P001,Electronics,8,103.05,0.0,42
P001,Electronics,9,103.05,0.0,51
P001,Electronics,10,72.13,0.3,115
P001,Electronics,11,77.29,0.25,98
P001,Electronics,12,103.05,0.0,34
P001,Electronics,13,103.05,0.0,42
P001,Electronics,14,103.05,0.0,42
P001,Electronics,15,103.05,0.0,51
P001,Electronics,16,103.05,0.0,40
P001,Electronics,17,72.13,0.3,115
P001,Electronics,18,103.05,0.0,48
P001,Electronics,19,92.75,0.1,45
P001,Electronics,20,103.05,0.0,38
P001,Electronics,21,87.59,0.15,61
P001,Electronics,22,103.05,0.0,39
P001,Electronics,23,103.05,0.0,39
P001,Electronics,24,77.29,0.25,83
P001,Electronics,25,103.05,0.0,42
P001,Electronics,26,77.29,0.25,93
P001,Electronics,27,103.05,0.0,39
P001,Electronics,28,103.05,0.0,39
P001,Electronics,29,103.05,0.0,38
P001,Electronics,30,77.29,0.25,74
P001,Electronics,31,103.05,0.0,31
P001,Electronics,32,103.05,0.0,27
P001,Electronics,33,103.05,0.0,27
P001,Electronics,34,103.05,0.0,38
P001,Electronics,35,97.9,0.05,34
P001,Electronics,36,92.75,0.1,49
P001,Electronics,37,72.13,0.3,86
P001,Electronics,38,103.05,0.0,29
P001,Electronics,39,103.05,0.0,33
P001,Electronics,40,103.05,0.0,32
P001,Electronics,41,92.75,0.1,41
P001,Electronics,42,103.05,0.0,24
P001,Electronics,43,82.44,0.2,63
P001,Electronics,44,82.44,0.2,57
P001,Electronics,45,103.05,0.0,26
P001,Electronics,46,72.13,0.3,107
P001,Electronics,47,103.05,0.0,36
P001,Electronics,48,103.05,0.0,35
P001,Electronics,49,103.05,0.0,33
P001,Electronics,50,103.05,0.0,37
P001,Electronics,51,103.05,0.0,34
P001,Electronics,52,103.05,0.0,38
